Section,Question,A,B,C,D,Correct,Explanation
MCQ on Assessment of Endocrinal function History,29. Which test detects parathyroid hormone levels?,A) PTH blood test,B) Thyroid scan,C) Glucose tolerance test,D) VMA test,A,
MCQ on Assessment of Endocrinal function History,30. The dexamethasone suppression test is used to diagnose:,A) Cushing’s syndrome,B) Hypothyroidism,C) Diabetes insipidus,D) Hyperparathyroidism,A,
MCQ on Assessment of Endocrinal function History,31. Which imaging test is used to evaluate the pituitary gland?,A) MRI brain,B) Thyroid ultrasound,C) Chest X-ray,D) DEXA scan,A,
MCQ on Assessment of Endocrinal function History,32. A low serum sodium level may indicate:,A) Syndrome of inappropriate ADH (SIADH),B) Hyperthyroidism,C) Hypoparathyroidism,D) Pheochromocytoma,A,
MCQ on Assessment of Endocrinal function History,33. Which test measures catecholamines in pheochromocytoma?,A) 24-hour urinary metanephrines,B) Glucose tolerance test,C) Thyroid function test,D) Serum calcium test,A,
MCQ on Assessment of Endocrinal function History,34. A thyroid scan is used to evaluate:,A) Thyroid nodules,B) Adrenal tumors,C) Pituitary adenomas,D) Pancreatic function,A,
MCQ on Assessment of Endocrinal function History,35. Which test confirms diabetes mellitus in a symptomatic patient?,A) Random blood glucose ≥200 mg/dL,B) Serum cortisol test,C) Thyroid function test,D) ACTH stimulation test,A,
MCQ on Assessment of Endocrinal function History,37. A high HbA1c level indicates:,A) Poor long-term glucose control,B) Hypothyroidism,C) Hyperparathyroidism,D) Addison’s disease,A,
MCQ on Assessment of Endocrinal function History,38. Which test is used to diagnose Hyperparathyroidism?,A) Serum calcium and PTH levels,B) Thyroid function test,C) Glucose tolerance test,D) VMA test,A,
MCQ on Assessment of Endocrinal function History,40. Which test assesses adrenal function in suspected Addison’s disease?,A) Serum cortisol and ACTH levels,B) Thyroid scan,C) Glucose tolerance test,D) Water deprivation test,A,
MCQ on Assessment of Endocrinal function History,41. A fine needle aspiration biopsy is used to evaluate:,A) Thyroid nodules,B) Adrenal tumors,C) Pituitary adenomas,D) Pancreatic function,A,
MCQ on Assessment of Endocrinal function History,42. Which test measures urine concentration in diabetes insipidus?,A) Urine osmolality test,B) Thyroid function test,C) ACTH stimulation test,D) Dexamethasone suppression test,A,
MCQ on Assessment of Endocrinal function History,43. A high serum sodium level may indicate:,A) Diabetes insipidus,B) SIADH,C) Hypothyroidism,D) Cushing’s syndrome,A,
MCQ on Assessment of Endocrinal function History,44. Which imaging test detects adrenal tumors?,A) CT scan of the abdomen,B) Thyroid ultrasound,C) DEXA scan,D) Chest X-ray,A,
MCQ on Assessment of Endocrinal function History,45. A low TSH level with high T4 suggests:,A) Hyperthyroidism,B) Hypothyroidism,C) Hypoparathyroidism,D) Addison’s disease,A,
MCQ on Assessment of Endocrinal function History,46. Which test is used to confirm acromegaly?,A) Insulin-like growth factor-1 (IGF-1) test,B) Thyroid function test,C) Glucose tolerance test,D) ACTH stimulation test,A,
MCQ on Assessment of Endocrinal function History,47. A nursing priority during diagnostic evaluation is to:,A) Monitor for adverse reactions to tests,B) Encourage a high-sodium diet,C) Restrict all fluids,D) Limit patient education,A,
MCQ on Assessment of Endocrinal function History,48. Which test assesses pituitary function in suspected hypopituitarism?,A) ACTH and growth hormone levels,B) Thyroid scan,C) Glucose tolerance test,D) VMA test,A,
MCQ on Assessment of Endocrinal function History,49. A high serum prolactin level may indicate:,A) Prolactinoma,B) Hypothyroidism,C) Hyperparathyroidism,D) Addison’s disease,A,
MCQ on Scenario Based,"1. A patient presents with fatigue, weight gain, and cold intolerance. Lab tests show elevated TSH and low T4 levels. What is the likely diagnosis, and which gland is primarily affected?","A) Cushing' s syndrome, adrenal gland","B) Hypothyroidism, thyroid gland","C) Hyperthyroidism, thyroid gland","D) Acromegaly, pituitary gland",B,"Elevated TSH with low T4 indicates primary hypothyroidism, where the thyroid fails to produce sufficient hormones, often due to autoimmune conditions like Hashimoto's thyroiditis."
MCQ on Scenario Based,"2. A 35-year-old woman presents with anxiety, heat intolerance, tremors, and a noticeable goiter. Lab tests reveal low TSH and elevated free T4 levels. What is the likely diagnosis, and which gland is primarily affected?","A) Hypothyroidism, thyroid gland","B) Hyperthyroidism, thyroid gland","C) Cushing's syndrome, adrenal gland","D) Addison's disease, adrenal gland",B,"Low TSH with high T4 indicates hyperthyroidism (e.g., Graves' disease), where the thyroid overproduces hormones, causing increased metabolism and symptoms like heat intolerance and tremors."
MCQ on Scenario Based,"3. A 28-year-old man complains of rapid heartbeat, weight loss despite increased appetite, and diarrhea. Imaging shows diffuse thyroid enlargement, and labs confirm elevated T3 and anti-TSH receptor antibodies. What is the likely diagnosis, and which gland is primarily affected?","A) Pheochromocytoma, adrenal gland","B) Hyperthyroidism, thyroid gland","C) Diabetes insipidus, pituitary gland","D) SIADH, pituitary gland",B,"Positive anti-TSH receptor antibodies suggest Graves' disease, a form of hyperthyroidism, leading to excessive thyroid hormone production and catabolic symptoms."
MCQ on Scenario Based,"4. A 45-year-old woman post-thyroidectomy reports muscle cramps, tingling in her fingers, and facial twitching. Labs show low serum calcium, high phosphorus, and low PTH levels. What is the likely diagnosis, and which gland is primarily affected?","A) Hyperparathyroidism, parathyroid glands","B) Hypoparathyroidism, parathyroid glands","C) Addison's disease, adrenal glands","D) Cushing's syndrome, adrenal glands",B," Surgical removal of the thyroid can damage parathyroid glands, leading to low PTH, hypocalcemia, and symptoms like tetany (muscle cramps and twitching)."
MCQ on Scenario Based,"5. A 50-year-old man presents with fatigue, seizures, and prolonged QT interval on ECG. Labs reveal hypocalcemia, hyperphosphatemia, and undetectable PTH. What is the likely diagnosis, and which gland is primarily affected?","A) Hypoparathyroidism, parathyroid glands","B) Hyperthyroidism, thyroid gland","C) Diabetes mellitus, pancreas","D) Pheochromocytoma, adrenal glands",A," Idiopathic or autoimmune hypoparathyroidism causes deficient PTH, disrupting calcium homeostasis and leading to neuromuscular irritability and cardiac issues."
MCQ on Scenario Based,"6. A 60-year-old woman complains of bone pain, kidney stones, and constipation. Labs show hypercalcemia, low phosphorus, and elevated PTH levels. What is the likely diagnosis, and which gland is primarily affected?","A) Hypoparathyroidism, parathyroid glands","B) Hyperparathyroidism, parathyroid glands","C) Addison’s disease, adrenal glands","D) Diabetes insipidus, pituitary gland",B," Primary hyperparathyroidism (e.g., adenoma) causes excessive PTH, leading to hypercalcemia and the "stones, bones, groans" triad (kidney stones, bone pain, abdominal issues)."
MCQ on Scenario Based,"7. A 55-year-old man presents with depression, fatigue, and recurrent fractures. Imaging reveals parathyroid adenoma, and labs confirm high calcium and PTH. What is the likely diagnosis, and which gland is primarily affected?","A) Cushing’s syndrome, adrenal glands","B) Hyperparathyroidism, parathyroid glands","C) SIADH, pituitary gland","D) Hypothyroidism, thyroid gland",B,"Excess PTH from an adenoma mobilizes calcium from bones, causing osteoporosis (fractures) and neuropsychiatric symptoms like depression."
MCQ on Scenario Based,"8. A 40-year-old woman presents with central obesity, moon face, buffalo hump, and easy bruising. Labs show elevated cortisol and failure to suppress on dexamethasone test. What is the likely diagnosis, and which gland is primarily affected?","A) Addison’s disease, adrenal glands","B) Cushing syndrome, adrenal glands","C) Pheochromocytoma, adrenal glands","D) Diabetes mellitus, pancreas",B,"Cushing syndrome results from chronic glucocorticoid excess (e.g., from adrenal tumor or ACTH overproduction), causing characteristic fat redistribution and skin changes."
